教科等,No,学習指導要領テキスト,学習指導要領コード
理療,1026,イ　〔指導項目〕の(4)については，東洋医学における未病の考え方を踏まえて取り扱うこと。,8Df6505220000000
理療,1027,ウ　〔指導項目〕の(4)から(7) までについては，疾患ごとにその症状の機序や経過について，病態生理学と関連付けながら扱うとともに，施術の適応の判断ができるよう指導すること。,8Df6505230000000
理療,1028,エ　〔指導項目〕の(5) 及び(6) については，「生活と疾病」で取り上げる症状や疾患と関連付けて指導するとともに，健康指導，生活指導及び応急処置の方法も含めて指導すること。,8Df6505240000000
理療,1029,オ　〔指導項目〕の(7) のウについては，特に，脳卒中モデル及び廃用症候群モデルのケアについて取り扱うこと。,8Df6505250000000
理療,1030,カ　〔指導項目〕の(8) のウについては，応急処置及びテーピングの基本について取り扱うこと。,8Df6505260000000
理療,1031,〔地域理療と理療経営〕,8Df7500000000000
理療,1032,"１　目標
理療の見方・考え方を働かせ，地域理療及び理療経営に関する実践的・体験的な学習活動を通して，施術を行うために必要な資質・能力を次のとおり育成することを目指す。",8Df7502000000000
理療,1033,(1) 地域理療及び理療経営について体系的・系統的に理解するとともに，関連する技術を身に付けるようにする。,8Df7502100000000
理療,1034,(2) 地域理療及び理療経営に関する課題を発見し，あん摩マッサージ指圧師， はり師及びきゅう師としての職業倫理を踏まえて合理的かつ創造的に解決する力を養う。,8Df7502200000000
理療,1035,(3) 地域理療及び理療経営について，地域や社会を支えるあん摩マッサージ指圧師，はり師及びきゅう師を目指して自ら学び，適切かつ合理的な施術に主体的かつ協働的に取り組む態度を養う。,8Df7502300000000
理療,1036,"２　内容
１に示す資質・能力を身に付けることができるよう，次の〔指導項目〕を指導する。",8Df7503000000000
理療,1037,〔指導項目〕,8Df7503100000000
理療,1038,(1) 少子高齢社会と社会保障,8Df7503110000000
理療,1039,ア　少子高齢化の現状と動向,8Df7503111000000
理療,1040,イ  医療保障と介護保障の現状と課題,8Df7503112000000
理療,1041,(2) 地域社会と理療,8Df7503120000000
理療,1042,ア　地域医療の沿革,8Df7503121000000
理療,1043,イ　地域理療の概念,8Df7503122000000
理療,1044,ウ  地域社会の医療と介護,8Df7503123000000
理療,1045,(3) 地域理療の業務と社会保険,8Df7503130000000
理療,1046,ア　理療業務と療養費,8Df7503131000000
理療,1047,イ  理療業務と診療報酬,8Df7503132000000
理療,1048,ウ　理療業務と介護報酬,8Df7503133000000
理療,1049,(4) 理療と経営,8Df7503140000000
理療,1050,ア　経営の一般,8Df7503141000000
理療,1051,イ  施術所の開設準備,8Df7503142000000
理療,1052,ウ  障害者雇用と助成金制度,8Df7503143000000
理療,1053,エ　経営の管理と運営,8Df7503144000000
理療,1054,オ  経営の展開と実際,8Df7503145000000
理療,1055,３　内容の取扱い,8Df7505000000000
理療,1056,(1) 内容を取り扱う際には，次の事項に配慮するものとする。,8Df7505100000000
理療,1057,ア  指導に当たっては，「医療と社会」との関連に留意するとともに，地域社会における理療の役割と意義を理解できるようにすること。,8Df7505110000000
理療,1058,イ　〔指導項目〕の(3) については，制度に関する基本的な考え方や法令遵守についても指導すること。,8Df7505120000000
理療,1059,(2) 内容の範囲や程度については，次の事項に配慮するものとする。,8Df7505200000000
理療,1060,ア　〔指導項目〕の(1)のアについては，最新の統計や資料を踏まえて取り扱うこと。,8Df7505210000000
理療,1061,イ　〔指導項目〕の(4)については，経営の実際の基本的な事項を取り扱うこと。,8Df7505220000000
理療,1062,〔理療基礎実習〕,8Df8500000000000
理療,1063,"１　目標
理療の見方・考え方を働かせ，臨床の基礎に関する実践的・体験的な学習活動を通して，施術を行うために必要な資質・能力を次のとおり育成することを目指す。",8Df8502000000000
理療,1064,(1) 臨床の基礎について体系的・系統的に理解するとともに，関連する基礎的な技術を身に付けるようにする。,8Df8502100000000
理療,1065,(2) 臨床の基礎に関する課題を発見し，あん摩マッサージ指圧師，はり師及びきゅう師としての職業倫理を踏まえて合理的かつ創造的に解決する力を養う。,8Df8502200000000
理療,1066,(3) 臨床の基礎について，地域や社会を支えるあん摩マッサージ指圧師，はり師及びきゅう師を目指して自ら学び，適切かつ効果的な施術に主体的かつ協働的に取り組む態度を養う。,8Df8502300000000
理療,1067,"２　内容
１に示す資質・能力を身に付けることができるよう，次の〔指導項目〕を指導する。",8Df8503000000000
理療,1068,〔指導項目〕,8Df8503100000000
理療,1069,(1) 施術に必要な衛生と安全管理,8Df8503110000000
理療,1070,ア　施術室の管理,8Df8503111000000
理療,1071,イ  施術者の衛生保持,8Df8503112000000
理療,1072,ウ　リスク管理,8Df8503113000000
理療,1073,(2) あん摩・マッサージ・指圧基礎実技実習,8Df8503120000000
理療,1074,ア　あん摩の基本手技と身体各部の施術,8Df8503121000000
理療,1075,イ  マッサージの基本手技と身体各部の施術,8Df8503122000000
理療,1076,ウ　指圧の基本手技と身体各部の施術,8Df8503123000000
理療,1077,(3) はり基礎実技実習,8Df8503130000000
理療,1078,ア　刺鍼の方法,8Df8503131000000
理療,1079,イ  刺鍼の手技,8Df8503132000000
理療,1080,ウ　特殊な鍼法,8Df8503133000000
理療,1081,(4) きゅう基礎実技実習,8Df8503140000000
理療,1082,ア　きゅう施術の基礎,8Df8503141000000
理療,1083,イ  各種の施灸法とその実際,8Df8503142000000
理療,1084,(5) 理療応用実技実習,8Df8503150000000
理療,1085,ア　医療面接実習,8Df8503151000000
理療,1086,イ  評価と理学的検査の実際,8Df8503152000000
理療,1087,ウ　運動療法の応用,8Df8503153000000
理療,1088,エ  物理療法の応用,8Df8503154000000
理療,1089,(6) 理療総合実技実習,8Df8503160000000
理療,1090,ア　総合実技の基礎,8Df8503161000000
理療,1091,イ  主要症状・疾患に対する総合実技実習,8Df8503162000000
理療,1092,３　内容の取扱い,8Df8505000000000
理療,1093,(1) 内容を取り扱う際には，次の事項に配慮するものとする。,8Df8505100000000
理療,1094,ア　〔指導項目〕の(1)については，この科目全体を通して習慣化されるよう取り扱うこと。ウについては，施術の過誤を予防するための適切な安全管理ができるように取り扱うこと。,8Df8505110000000
理療,1095,イ　〔指導項目〕の(2)から(4)までについては，他の科目と関連付けながら， 基礎的な施術ができるよう指導すること。,8Df8505120000000
理療,1096,ウ　〔指導項目〕の(5) 及び(6) については，現代医学と東洋医学の両面から， 病状を総合的に把握して，実際的な施術ができるよう指導すること。また，(5) のアについては，患者の立場に立ち，安全な施術を行うための心構えや実践的な能力が身に付くよう配慮すること。(6) のイについては，臨床実習前施術実技に関する評価を行うこと。,8Df8505130000000
理療,1097,(2) 内容の範囲や程度については，次の事項に配慮するものとする。,8Df8505200000000
理療,1098,ア　〔指導項目〕の(1)については，消毒法や滅菌法の実際に重点を置いて取り扱うこと。,8Df8505210000000
理療,1099,イ　〔指導項目〕の(2)については，運動法の基本等についても取り扱うこと。,8Df8505220000000
理療,1100,ウ　〔指導項目〕の(3) のウについては，小児鍼，皮内鍼，低周波鍼通電療法を中心に取り扱うこと。,8Df8505230000000
理療,1101,エ　〔指導項目〕の(6) のイについては，臨床実習への導入として位置付け，「臨床理療学」の〔指導項目〕の(5) 及び(6) で取り上げる症状や疾患に対する施術の実際を取り扱うこと。,8Df8505240000000
理療,1102,〔理療臨床実習〕,8Df9500000000000
理療,1103,"１　目標
理療の見方・考え方を働かせ，臨床に関する実践的・体験的な学習活動を通して，施術を行うために必要な資質・能力を次のとおり育成することを目指す。",8Df9502000000000
理療,1104,(1) 臨床について体系的・系統的に理解するとともに，関連する技術を身に付けるようにする。,8Df9502100000000
理療,1105,(2) 臨床に関する課題を発見し，あん摩マッサージ指圧師，はり師及びきゅう師としての職業倫理を踏まえて合理的かつ創造的に解決する力を養う。,8Df9502200000000
理療,1106,(3) 臨床について，地域や社会を支えるあん摩マッサージ指圧師，はり師及びきゅう師を目指して自ら学び，適切かつ合理的な施術に主体的かつ協働的に取り組む態度を養う。,8Df9502300000000
理療,1107,"２　内容
１に示す資質・能力を身に付けることができるよう，次の〔指導項目〕を指導する。",8Df9503000000000
理療,1108,〔指導項目〕,8Df9503100000000
理療,1109,(1) 校内実習,8Df9503110000000
理療,1110,ア  施術者と施術対象,8Df9503111000000
理療,1111,イ　施術の実際,8Df9503112000000
理療,1112,ウ  カルテの記載と管理,8Df9503113000000
理療,1113,エ　症例検討,8Df9503114000000
理療,1114,(2) 校外実習,8Df9503120000000
理療,1115,ア　校外実習の意義,8Df9503121000000
理療,1116,イ　校外実習の実際,8Df9503122000000
理療,1117,ウ　経営実習の実際,8Df9503123000000
理療,1118,３　内容の取扱い,8Df9505000000000
理療,1119,(1) 内容を取り扱う際には，次の事項に配慮するものとする。,8Df9505100000000
理療,1120,ア  指導に当たっては，治療技術的な側面のみならず，インフォームド・コンセントや患者の秘密保持，カルテ等の適切な管理方法など，あん摩マッサージ指圧師，はり師及びきゅう師としての倫理観や職業観を培うことに配慮すること。,8Df9505110000000
理療,1121,イ  地域の保健・医療・福祉機関との連携を図りながら，実際的に理解できるように指導すること。,8Df9505120000000
理療,1122,ウ  校内実習と校外実習の履修学年や授業時数の配当については，生徒の実態や実習・見学施設の状況等により弾力的に取り扱うこと。,8Df9505130000000
理療,1123,エ　〔指導項目〕の(2)については，理療の実践に適した施設等を選定し，当該施設等との十分な連絡調整を図ること。,8Df9505140000000
理療,1124,(2) 内容の範囲や程度については，次の事項に配慮するものとする。,8Df9505200000000
理療,1125,ア　〔指導項目〕の(1)については，生徒の臨床実習の習熟の程度に応じて適切な症例を選択するとともに，きめ細かな指導を行うことができるよう指導体制等に配慮すること。エについては，病態の把握，適応の判断，施術法や施術効果の検討，リスクの検討などを取り扱うこと。,8Df9505210000000
理療,1126,イ　〔指導項目〕の(2)のイについては，多様な理療関連業務を理解するための施設見学や生徒の進路希望に対応した実習ができるように計画すること。ウについては，施術所経営に関する実際的な基礎的な知識が養われるように，臨床経験の豊富な者の話や施術所見学，模擬経営実習などを通して，保険の取扱いの実際を含めて具体的に指導すること。,8Df9505220000000
理療,1127,〔理療情報〕,8DfA500000000000
理療,1128,"１　目標
理療の見方・考え方を働かせ，理療情報に関する実践的・体験的な学習活動を行うことなどを通して，施術を行うために必要な資質・能力を次のとおり育成することを目指す。",8DfA502000000000
理療,1129,(1) 理療情報について体系的・系統的に理解するとともに，関連する技術を身に付けるようにする。,8DfA502100000000
理療,1130,(2) 理療情報に関する基本的な課題を発見し，あん摩・マッサージ・指圧師， はり師及びきゅう師としての職業倫理を踏まえて合理的かつ創造的に解決する力を養う。,8DfA502200000000
理療,1131,(3) 理療情報について，地域や社会を支えるあん摩マッサージ指圧師，はり師及びきゅう師を目指して自ら学び，人々の健康の保持増進及び疾病の治療に関する課題解決に主体的かつ協働的に取り組む態度を養う。,8DfA502300000000
理療,1132,"２　内容
１に示す資質・能力を身に付けることができるよう，次の〔指導項目〕を指導する。",8DfA503000000000
理療,1133,〔指導項目〕,8DfA503100000000
理療,1134,(1) 情報社会の倫理と責任,8DfA503110000000
理療,1135,ア　情報社会の特徴,8DfA503111000000
理療,1136,イ  情報社会の倫理,8DfA503112000000
理療,1137,ウ  情報を扱う個人の責任,8DfA503113000000
理療,1138,(2) 理療における情報の活用と管理,8DfA503120000000
理療,1139,ア　保健医療福祉分野の情報,8DfA503121000000
理療,1140,イ  情報システムの特徴,8DfA503122000000
理療,1141,ウ　情報の活用,8DfA503123000000
理療,1142,エ  情報の管理,8DfA503124000000
理療,1143,(3) 理療における課題解決,8DfA503130000000
理療,1144,ア　課題に応じた情報収集,8DfA503131000000
理療,1145,イ　情報分析と解決方法,8DfA503132000000
理療,1146,ウ　情報の発信方法,8DfA503133000000
理療,1147,３　内容の取扱い,8DfA505000000000
理療,1148,(1) 内容を取り扱う際には，次の事項に配慮するものとする。,8DfA505100000000
理療,1149,ア　多様な題材やデータを取り上げ，情報技術の進展に応じた演習などを通して，生徒が情報及び情報ネットワークを適切に活用できるよう，情報の信頼性を判断する能力及び情報モラルを育成すること。,8DfA505110000000
理療,1150,(2) 内容の範囲や程度については，次の事項に配慮するものとする。,8DfA505200000000
理療,1151,ア　〔指導項目〕の(1)については，個人のプライバシーや著作権を含む知的財産の保護，個人における情報の管理や発信に関する責任について，法令と関連付けて取り扱うこと。,8DfA505210000000
理療,1152,イ　〔指導項目〕の(2)については，保健医療福祉関係者で共有する情報通信ネットワークの特徴と活用について，地域の実例などを取り扱うこと。また，業務における情報セキュリティの重要性について法令と関連付けて取り扱うこと。,8DfA505220000000
理療,1153,ウ　〔指導項目〕の(3) については，生徒が主体的に課題を設定して，情報を集め分析し，課題の解決に向けてモデル化，シミュレーション，プログラミングなどを行い，情報デザインなどを踏まえた発信方法を考え，協議する演習などを行うこと。,8DfA505230000000
理療,1154,〔課題研究〕,8DfB500000000000
理療,1155,"１　目標
理療の見方・考え方を働かせ，実践的・体験的な学習活動を行うことなどを通して，地域や社会の保健医療福祉を支え，人々の健康の保持増進を担う職業人として必要な資質・能力を次のとおり育成することを目指す。",8DfB502000000000
理療,1156,(1) 理療について体系的・系統的に理解するとともに，相互に関連付けられた技術を身に付けるようにする。,8DfB502100000000
理療,1157,(2) 理療に関する課題を発見し，あん摩マッサージ指圧師，はり師及びきゅう師として解決策を探究し，科学的な根拠に基づいて創造的に解決する力を養う。,8DfB502200000000
理療,1158,(3) 課題を解決する力の向上を目指して自ら学び，適切かつ合理的な施術に主体的かつ協働的に取り組む態度を養う。,8DfB502300000000
理療,1159,"２　内容
１に示す資質・能力を身に付けることができるよう，次の〔指導項目〕を指導する。",8DfB503000000000
理療,1160,〔指導項目〕,8DfB503100000000
理療,1161,(1) 調査，研究，実験,8DfB503110000000
理療,1162,(2) 職業資格の取得,8DfB503120000000
理療,1163,３　内容の取扱い,8DfB505000000000
理療,1164,(1) 内容を取り扱う際には，次の事項に配慮するものとする。,8DfB505100000000
理療,1165,ア  生徒の興味・関心，進路希望等に応じて，〔指導項目〕の(1)及び(2)から， 個人又はグループで理療に関する適切な課題を設定し，主体的かつ協働的に取り組む学習活動を通して，専門的な知識，技術などの深化・総合化を 図り，理療に関する課題の解決に取り組むことができるようにすること。なお，課題については，(1)及び(2)にまたがるものを設定することができること。,8DfB505110000000
理療,1166,イ  課題研究の成果について発表する機会を設けるようにすること。,8DfB505120000000
理療,1167,第３　各科目にわたる指導計画の作成と内容の取扱い,8Df0300000000000
理療,1168,１　指導計画の作成に当たっては，次の事項に配慮するものとする。,8Df0300100000000
理療,1169,(1) 各科目の指導に当たっては，できるだけ実験・実習を通して，実際的，具体的に理解させるようにすること。,8Df0300110000000
理療,1170,(2) 実技や実習を伴う科目の指導に当たっては，臨床に応用する力を育むため， 生徒が常に達成感と新たな技術の習得への意欲をもって学習できるように， 指導内容の構成や指導方法の工夫に留意すること。,8Df0300120000000
理療,1171,(3) 各科目に指導に当たっては，施術の対象となる代表的な疾患や愁訴に対する施術の適応を判断し確実に施術ができるようにするため，個々の生徒の実態に応じた指導計画の作成に配慮すること。,8Df0300130000000
理療,1172,２　内容の取扱いに当たっては，次の事項に配慮するものとする。,8Df0300200000000
理療,1173,(1) 単元などの内容や時間のまとまりを見通して，その中で育む資質・能力の育成に向けて，生徒の主体的・対話的で深い学びの実現を図るようにすること。その際，理療の見方・考え方を働かせ，健康に関する事象を，当事者の考えや状況，理療が生活に与える影響に着目して捉え，当事者による自己管理を目指して，適切かつ効果的な理療を関連付ける実践的・体験的な学習活動の充実を図ること。,8Df0300210000000
理療,1174,(2) 「理療基礎実習」及び「理療臨床実習」については，対象となる者の人格を尊重する態度を育てるとともに，実習における安全と規律に留意すること。,8Df0300220000000
理療,1175,(3) 各科目の指導に当たっては，コンピュータや情報通信ネットワーク等の活用を図り，学習の効果を高めるようにすること。,8Df0300230000000
理療,1176,(4) 地域や理療に関する施術所，医療機関，介護保険施設等との連携・交流を通じた実践的な学習活動や就業体験活動を積極的に取り入れるとともに，社会人講師を積極的に活用するなどの工夫に努めること。,8Df0300240000000
理療,1177,３　実験・実習を行うに当たっては，関連する法規等に従い，施設・設備や薬品等の安全管理に配慮し，学習環境を整えるとともに，事故防止の指導を徹底し， 安全と衛生に十分留意するものとする。,8Df0300300000000
理学療法,1178,第５款　理学療法,8Dg0000000000000
理学療法,1179,"第１　目標
理学療法の見方・考え方を働かせ，実践的・体験的な学習活動を行うことなどを通して，理学療法を通じ，地域や社会の保健・医療・福祉を支え，人々の健康の保持増進及びリハビリテーションに寄与する職業人として必要な資質・能力を次のとおり育成することを目指す。",8Dg0100000000000
理学療法,1180,(1) 理学療法について体系的・系統的に理解するとともに，関連する技術を身に付けるようにする。,8Dg0100100000000
理学療法,1181,(2) 理学療法に関する課題を発見し，職業人に求められる倫理観を踏まえ合理的かつ創造的に解決する力を養う。,8Dg0100200000000
理学療法,1182,(3) 職業人として必要な豊かな人間性を育み，よりよい社会の構築を目指して自ら学び，人々の健康の保持増進及びリハビリテーションに主体的かつ協働的に取り組む態度を養う。,8Dg0100300000000
理学療法,1183,第２　各科目,8Dg0500000000000
理学療法,1184,〔人体の構造と機能〕,8Dg1500000000000
理学療法,1185,"１　目標
理学療法の見方・考え方を働かせ，人体の構造，機能及び心身の発達に関する実践的・体験的な学習活動を通して，理学療法を行うために必要な資質・能力を次のとおり育成することを目指す。",8Dg1502000000000
理学療法,1186,(1) 理学療法を行うために必要な人体の構造，機能及び心身の発達について体系的・系統的に理解するようにする。,8Dg1502100000000
理学療法,1187,(2) 人体の構造，機能及び心身の発達に関する課題を発見し，理学療法士としての職業倫理を踏まえて合理的かつ創造的に解決する力を養う。,8Dg1502200000000
理学療法,1188,(3) 人体の構造，機能及び心身の発達と機能について地域や社会を支える理学療法士を目指して自ら学び，人々の健康の保持増進及びリハビリテーションに主体的かつ協働的に取り組む態度を養う。,8Dg1502300000000
理学療法,1189,"２　内容
１に示す資質・能力を身に付けることができるよう，次の〔指導項目〕を指導する。",8Dg1503000000000
理学療法,1190,〔指導項目〕,8Dg1503100000000
理学療法,1191,(1) 人体の構造,8Dg1503110000000
理学療法,1192,ア  解剖学の基礎,8Dg1503111000000
理学療法,1193,イ　系統解剖,8Dg1503112000000
理学療法,1194,ウ　体表解剖,8Dg1503113000000
理学療法,1195,エ　機能解剖,8Dg1503114000000
理学療法,1196,オ　解剖学実習,8Dg1503115000000
理学療法,1197,(2) 人体の機能,8Dg1503120000000
理学療法,1198,ア  生理学の基礎,8Dg1503121000000
理学療法,1199,イ  人体各器官の機能,8Dg1503122000000
理学療法,1200,ウ  運動生理学,8Dg1503123000000
理学療法,1201,エ　生理学実習,8Dg1503124000000
理学療法,1202,(3) 人体の運動,8Dg1503130000000
理学療法,1203,ア  運動学の基礎,8Dg1503131000000
理学療法,1204,イ　身体の運動,8Dg1503132000000
理学療法,1205,ウ　運動学実習,8Dg1503133000000
理学療法,1206,(4) 人間の発達,8Dg1503140000000
理学療法,1207,ア  人間発達の基礎,8Dg1503141000000
理学療法,1208,イ  各期における発達の特徴と評価,8Dg1503142000000
理学療法,1209,３　内容の取扱い,8Dg1505000000000
理学療法,1210,(1) 内容を取り扱う際には，次の事項に配慮するものとする。,8Dg1505100000000
理学療法,1211,ア　人体についての理解が抽象的な概念の把握にとどまることのないようにするため，観察及び実験・実習を取り入れ，具体的，実際的に指導すること。,8Dg1505110000000
理学療法,1212,イ　指導に当たっては，人体の構造面と機能面を系統的に理解できるようにするため，これらの内容を相互に関連付けて取り扱うこと。また，理学療法において重要な運動機能面に重点を置いて取り扱うこと。,8Dg1505120000000
理学療法,1213,(2) 内容の範囲や程度については，次の事項に配慮するものとする。,8Dg1505200000000
理学療法,1214,ア　〔指導項目〕の(1)については，模型，標本の活用や実習，生体観察などを通して，人体の構造が実際的に理解できるようにすること。,8Dg1505210000000
理学療法,1215,イ　〔指導項目〕の(3) のウについては，上肢，下肢及び体幹の動き，各種の姿勢と日常生活における動作などの分析を取り扱うこと。,8Dg1505220000000
理学療法,1216,〔疾病と障害〕,8Dg2500000000000
理学療法,1217,"１　目標
理学療法の見方・考え方を働かせ，疾病と障害の成り立ち及び回復過程に関する実践的・体験的な学習活動を通して，理学療法を行うために必要な資質・能力を次のとおり育成することを目指す。",8Dg2502000000000
理学療法,1218,(1) 理学療法を行うために必要な疾病と障害の成り立ち及び回復過程について体系的・系統的に理解するようにする。,8Dg2502100000000
理学療法,1219,(2) 疾病と障害の成り立ち及び回復過程に関する課題を発見し，理学療法士としての職業倫理を踏まえて合理的かつ創造的に解決する力を養う。,8Dg2502200000000
理学療法,1220,(3) 疾病と障害の成り立ち及び回復過程について，地域や社会を支える理学療法士を目指して自ら学び，人々の健康の保持増進及びリハビリテーションに主体的かつ協働的に取り組む態度を養う。,8Dg2502300000000
理学療法,1221,"２　内容
１に示す資質・能力を身に付けることができるよう，次の〔指導項目〕を指導する。",8Dg2503000000000
理学療法,1222,〔指導項目〕,8Dg2503100000000
理学療法,1223,(1) 病理学,8Dg2503110000000
理学療法,1224,ア  病理学の基礎,8Dg2503111000000
理学療法,1225,イ　病因,8Dg2503112000000
理学療法,1226,ウ  病変,8Dg2503113000000
理学療法,1227,(2) 内科疾患,8Dg2503120000000
理学療法,1228,ア  内科学の基礎,8Dg2503121000000
理学療法,1229,イ　主な内科疾患,8Dg2503122000000
理学療法,1230,(3) 整形外科疾患,8Dg2503130000000
理学療法,1231,ア  整形外科学の基礎,8Dg2503131000000
理学療法,1232,イ　主な整形外科疾患,8Dg2503132000000
理学療法,1233,(4) 神経内科疾患,8Dg2503140000000
理学療法,1234,ア　神経内科学の基礎,8Dg2503141000000
理学療法,1235,イ　神経症候学の基礎,8Dg2503142000000
理学療法,1236,ウ　主な神経内科疾患,8Dg2503143000000
理学療法,1237,(5) 精神科疾患 ,8Dg2503150000000
理学療法,1238,ア　神経内科学の基礎,8Dg2503151000000
理学療法,1239,イ　主な精神科疾患,8Dg2503152000000
理学療法,1240,(6) 小児科疾患 ,8Dg2503160000000
理学療法,1241,ア　小児科学の基礎,8Dg2503161000000
理学療法,1242,イ　主な小児科疾患,8Dg2503162000000
理学療法,1243,(7) 高齢者の疾患 ,8Dg2503170000000
理学療法,1244,ア　老年医学の基礎,8Dg2503171000000
理学療法,1245,イ　主な高齢者の疾患,8Dg2503172000000
理学療法,1246,(8) 臨床心理学 ,8Dg2503180000000
理学療法,1247,ア　臨床心理学の基礎,8Dg2503181000000
理学療法,1248,イ　臨床心理学の応用,8Dg2503182000000
理学療法,1249,(9) 栄養学,8Dg2503190000000
理学療法,1250,ア　栄養学の基礎,8Dg2503191000000
理学療法,1251,(10) 薬理学,8Dg25031A0000000
理学療法,1252,ア  薬理学の基礎,8Dg25031A1000000
理学療法,1253,(11) 救急救命医学,8Dg25031B0000000
理学療法,1254,ア  救急救命医学の基礎,8Dg25031B1000000
理学療法,1255,３　内容の取扱い,8Dg2505000000000
理学療法,1256,(1) 内容を取り扱う際には，次の事項に配慮するものとする。,8Dg2505100000000
理学療法,1257,ア　指導に当たっては，内容相互に関連をもたせ，疾病，障害，診断，治療及び予防などを系統的に理解できるよう取り扱うこと。,8Dg2505110000000
理学療法,1258,イ　〔指導項目〕の(2)から(7) までについては，理学療法と関係の深い代表的な疾患に重点を置くとともに，医用画像評価や疾病の予測や再発予防についても取り扱うこと。,8Dg2505120000000
理学療法,1259,(2) 内容の範囲や程度については，次の事項に配慮するものとする。,8Dg2505200000000
理学療法,1260,ア　〔指導項目〕の(2)については，理学療法と関係の深い循環器系，呼吸器系及び代謝系に重点を置いて取り扱うこと。,8Dg2505210000000
理学療法,1261,イ　〔指導項目〕の(3) のイについては，スポーツ障害や急性期の外傷についても取り扱うこと。,8Dg2505220000000
理学療法,1262,ウ　〔指導項目〕の(4)のイ及びウについては，理学療法と関係の深い中枢神経疾患及び末梢神経疾患に重点を置いて取り扱うこと。,8Dg2505230000000
理学療法,1263,エ　〔指導項目〕の(7) のアについては，嚥下の仕組みについても取り扱うこと。,8Dg2505240000000
理学療法,1264,オ 〔指導項目〕の(8) のイについては，患者の心理，臨床心理学的検査法，心理療法及びカウンセリングなどを取り扱うこと。,8Dg2505250000000
理学療法,1265,〔保健・医療・福祉とリハビリテーション〕,8Dg3500000000000
理学療法,1266,"１　目標
理学療法の見方・考え方を働かせ，保健・医療・福祉とリハビリテーションに関する実践的・体験的な学習活動を通して，理学療法を行うために必要な資質・能力を次のとおり育成することを目指す。",8Dg3502000000000
理学療法,1267,(1) 理学療法を行うために必要な保健・医療・福祉とリハビリテーションについて体系的・系統的に理解するようにする。,8Dg3502100000000
理学療法,1268,(2) 保健・医療・福祉とリハビリテーションに関する課題を発見し，理学療法士としての職業倫理を踏まえて合理的かつ創造的に解決する力を養う。,8Dg3502200000000
理学療法,1269,(3) 保健・医療・福祉とリハビリテーションについて，地域や社会を支える理学療法士を目指して自ら学び，人々の健康の保持増進及びリハビリテーションに主体的かつ協働的に取り組む態度を養う。,8Dg3502300000000
理学療法,1270,"２　内容
１に示す資質・能力を身に付けることができるよう，次の〔指導項目〕を指導する。",8Dg3503000000000
理学療法,1271,〔指導項目〕,8Dg3503100000000
理学療法,1272,(1) 保健・医療・福祉の体系,8Dg3503110000000
理学療法,1273,ア　保健・医療・福祉の概要,8Dg3503111000000
理学療法,1274,イ  各種の保健・医療・福祉制度,8Dg3503112000000
理学療法,1275,ウ　地域包括ケアシステムの概要,8Dg3503113000000
理学療法,1276,(2) リハビリテーション,8Dg3503120000000
理学療法,1277,ア  リハビリテーションの理念,8Dg3503121000000
理学療法,1278,イ  主要疾患のリハビリテーション,8Dg3503122000000
理学療法,1279,３　内容の取扱い,8Dg3505000000000
理学療法,1280,(1) 内容を取り扱う際には，次の事項に配慮するものとする。,8Dg3505100000000
理学療法,1281,ア　指導に当たっては，内容が抽象的な概念の把握にとどまることのないよう，また多職種との連携の重要性についての理解が図られるよう，症例紹介や保健・医療・福祉及びリハビリテーション施設の見学などを交えて取り扱うこと。,8Dg3505110000000
理学療法,1282,(2) 内容の範囲や程度については，次の事項に配慮するものとする。,8Dg3505200000000
理学療法,1283,ア　〔指導項目〕の(1)のイについては，理学療法に関係の深い代表的な保健・医療・福祉制度の現状と課題について取り扱うこと。,8Dg3505210000000
理学療法,1284,イ　〔指導項目〕の(1)のウについては，住まい・医療・介護・予防・生活支援の一体的提供及び地域ケア会議について取り扱うこと。,8Dg3505220000000
理学療法,1285,ウ　〔指導項目〕の(2)のアについては，自立支援及び就労支援について取り扱うこと。,8Dg3505230000000
理学療法,1286,エ　〔指導項目〕の(2)のイについては，理学療法の対象となる代表的な疾患を取り上げ，その原因，症状，経過及び予後並びにリハビリテーション治療の概要を取り扱うこと。,8Dg3505240000000
理学療法,1287,〔基礎理学療法学〕,8Dg4500000000000
理学療法,1288,"１　目標
理学療法の見方・考え方を働かせ，基礎理学療法学に関する実践的・体験的な学習活動を通して，理学療法を行うために必要な資質・能力を次のとおり育成することを目指す。",8Dg4502000000000
理学療法,1289,(1) 理学療法を行うために必要な基礎理学療法学について体系的・系統的に理解するようにする。,8Dg4502100000000
理学療法,1290,(2) 基礎理学療法学に関する課題を発見し，理学療法士としての職業倫理を踏まえて合理的かつ創造的に解決する力を養う。,8Dg4502200000000
理学療法,1291,(3) 基礎理学療法学について，地域や社会を支える理学療法士を目指して自ら学び，人々の健康の保持増進及びリハビリテーションに主体的かつ協働的に取り組む態度を養う。,8Dg4502300000000
理学療法,1292,"２　内容
１に示す資質・能力を身に付けることができるよう，次の〔指導項目〕を指導する。",8Dg4503000000000
理学療法,1293,〔指導項目〕,8Dg4503100000000
理学療法,1294,(1) 理学療法の概要,8Dg4503110000000
理学療法,1295,ア　理学療法の歴史,8Dg4503111000000
理学療法,1296,イ　理学療法の基礎,8Dg4503112000000
理学療法,1297,ウ  健康増進と予防に関する理学療法,8Dg4503113000000
理学療法,1298,エ　理学療法研究法,8Dg4503114000000
