,教科等,学習指導要領テキスト
1479,社会,２　内容
1480,社会,(1) 我が国の国土の様子と国民生活について，学習の問題を追究・解決する活動を通して，次の事項を身に付けることができるよう指導する。
1481,社会,ア　次のような知識及び技能を身に付けること。
1482,社会,(ｱ) 世界における我が国の国土の位置，国土の構成，領土の範囲などを大まかに理解すること。
1483,社会,(ｲ) 我が国の国土の地形や気候の概要を理解するとともに，人々は自然環境に適応して生活していることを理解すること。
1484,社会,(ｳ) 地図帳や地球儀，各種の資料で調べ，まとめること。
1485,社会,イ　次のような思考力，判断力，表現力等を身に付けること。
1486,社会,(ｱ) 世界の大陸と主な海洋，主な国の位置，海洋に囲まれ多数の島からなる国土の構成などに着目して，我が国の国土の様子を捉え，その特色を考え，表現すること。
1487,社会,(ｲ) 地形や気候などに着目して，国土の自然などの様子や自然条件から見て特色ある地域の人々の生活を捉え，国土の自然環境の特色やそれらと国民生活との関連を考え，表現すること。
1488,社会,(2) 我が国の農業や水産業における食料生産について，学習の問題を追究・解決する活動を通して，次の事項を身に付けることができるよう指導する。
1489,社会,ア　次のような知識及び技能を身に付けること。
1490,社会,(ｱ) 我が国の食料生産は，自然条件を生かして営まれていることや，国民の食料を確保する重要な役割を果たしていることを理解すること。
1491,社会,(ｲ) 食料生産に関わる人々は，生産性や品質を高めるよう努力したり輸送方法や販売方法を工夫したりして，良質な食料を消費地に届けるなど，食料生産を支えていることを理解すること。
1492,社会,(ｳ) 地図帳や地球儀，各種の資料で調べ，まとめること。
1493,社会,イ　次のような思考力，判断力，表現力等を身に付けること。
1494,社会,(ｱ) 生産物の種類や分布，生産量の変化，輸入など外国との関わりなどに着目して，食料生産の概要を捉え，食料生産が国民生活に果たす役割を考え，表現すること。
1495,社会,(ｲ) 生産の工程，人々の協力関係，技術の向上，輸送，価格や費用などに着目して，食料生産に関わる人々の工夫や努力を捉え，その働きを考え，表現すること。
1496,社会,(3) 我が国の工業生産について，学習の問題を追究・解決する活動を通して，次の事項を身に付けることができるよう指導する。
1497,社会,ア　次のような知識及び技能を身に付けること。
1498,社会,(ｱ) 我が国では様々な工業生産が行われていることや，国土には工業の盛んな地域が広がっていること及び工業製品は国民生活の向上に重要な役割を果たしていることを理解すること。
1499,社会,(ｲ) 工業生産に関わる人々は，消費者の需要や社会の変化に対応し，優れた製品を生産するよう様々な工夫や努力をして，工業生産を支えていることを理解すること。
1500,社会,(ｳ) 貿易や運輸は，原材料の確保や製品の販売などにおいて，工業生産を支える重要な役割を果たしていることを理解すること。
1501,社会,(ｴ) 地図帳や地球儀，各種の資料で調べ，まとめること。
1502,社会,イ　次のような思考力，判断力，表現力等を身に付けること。
1503,社会,"(ｱ) 工業の種類，工業の盛んな地域の分布，工業製品の改良などに着目して,工業生産の概要を捉え，工業生産が国民生活に果たす役割を考え，表現すること。"
1504,社会,(ｲ) 製造の工程，工場相互の協力関係，優れた技術などに着目して，工業生産に関わる人々の工夫や努力を捉え，その働きを考え，表現すること。
1505,社会,(ｳ) 交通網の広がり，外国との関わりなどに着目して，貿易や運輸の様子を捉え，それらの役割を考え，表現すること。
1506,社会,(4) 我が国の産業と情報との関わりについて，学習の問題を追究・解決する活動を通して，次の事項を身に付けることができるよう指導する。
1507,社会,ア　次のような知識及び技能を身に付けること。
1508,社会,(ｱ) 放送，新聞などの産業は，国民生活に大きな影響を及ぼしていることを理解すること。
1509,社会,(ｲ) 大量の情報や情報通信技術の活用は，様々な産業を発展させ，国民生活を向上させていることを理解すること。
1510,社会,(ｳ) 聞き取り調査をしたり映像や新聞などの各種資料で調べたりして，まとめること。
1511,社会,イ　次のような思考力，判断力，表現力等を身に付けること。
1512,社会,(ｱ) 情報を集め発信するまでの工夫や努力などに着目して，放送，新聞などの産業の様子を捉え，それらの産業が国民生活に果たす役割を考え，表現すること。
1513,社会,(ｲ) 情報の種類，情報の活用の仕方などに着目して，産業における情報活用の現状を捉え，情報を生かして発展する産業が国民生活に果たす役割を考え，表現すること。
1514,社会,(5) 我が国の国土の自然環境と国民生活との関連について，学習の問題を追究・解決する活動を通して，次の事項を身に付けることができるよう指導する。
1515,社会,ア　次のような知識及び技能を身に付けること。
1516,社会,(ｱ) 自然災害は国土の自然条件などと関連して発生していることや，自然災害から国土を保全し国民生活を守るために国や県などが様々な対策や事業を進めていることを理解すること。
1517,社会,(ｲ) 森林は，その育成や保護に従事している人々の様々な工夫と努力により国土の保全など重要な役割を果たしていることを理解すること。
1518,社会,(ｳ) 関係機関や地域の人々の様々な努力により公害の防止や生活環境の改善が図られてきたことを理解するとともに，公害から国土の環境や国民の健康な生活を守ることの大切さを理解すること。
1519,社会,(ｴ) 地図帳や各種の資料で調べ，まとめること。
1520,社会,イ　次のような思考力，判断力，表現力等を身に付けること。
1521,社会,(ｱ) 災害の種類や発生の位置や時期，防災対策などに着目して，国土の自然災害の状況を捉え，自然条件との関連を考え，表現すること。
1522,社会,(ｲ) 森林資源の分布や働きなどに着目して，国土の環境を捉え，森林資源が果たす役割を考え，表現すること。
1523,社会,(ｳ) 公害の発生時期や経過，人々の協力や努力などに着目して，公害防止の取組を捉え，その働きを考え，表現すること。
1524,社会,３　内容の取扱い
1525,社会,(1) 内容の(1)については，次のとおり取り扱うものとする。
1526,社会,ア　アの(ｱ)の「領土の範囲」については，竹島や北方領土，尖閣諸島が我が国の固有の領土であることに触れること。
1527,社会,イ　アの(ｳ)については，地図帳や地球儀を用いて，方位，緯度や経度などによる位置の表し方について取り扱うこと。
1528,社会,ウ　イの(ｱ)の「主な国」については，名称についても扱うようにし，近隣の諸国を含めて取り上げること。その際，我が国や諸外国には国旗があることを理解し，それを尊重する態度を養うよう配慮すること。
1529,社会,エ　イの(ｲ)の「自然条件から見て特色ある地域」については，地形条件や気候条件から見て特色ある地域を取り上げること。
1530,社会,(2) 内容の(2)については，次のとおり取り扱うものとする。
1531,社会,ア　アの(ｲ)及びイの(ｲ)については，食料生産の盛んな地域の具体的事例を通して調べることとし，稲作のほか，野菜，果物，畜産物，水産物などの中から一つを取り上げること。
1532,社会,イ　イの(ｱ)及び(ｲ)については，消費者や生産者の立場などから多角的に考えて，これからの農業などの発展について，自分の考えをまとめることができるよう配慮すること。
1533,社会,(3) 内容の(3)については，次のとおり取り扱うものとする。
1534,社会,ア　アの(ｲ)及びイの(ｲ)については，工業の盛んな地域の具体的事例を通して調べることとし，金属工業，機械工業，化学工業，食料品工業などの中から一つを取り上げること。
1535,社会,イ　イの(ｱ)及び(ｲ)については，消費者や生産者の立場などから多角的に考えて，これからの工業の発展について，自分の考えをまとめることができるよう配慮すること。
1536,社会,(4) 内容の(4)については，次のとおり取り扱うものとする。
1537,社会,ア　アの(ｱ)の「放送，新聞などの産業」については，それらの中から選択して取り上げること。その際，情報を有効に活用することについて，情報の送り手と受け手の立場から多角的に考え，受け手として正しく判断することや送り手として責任をもつことが大切であることに気付くようにすること。
1538,社会,イ　アの(ｲ)及びイの(ｲ)については，情報や情報技術を活用して発展している販売，運輸，観光，医療，福祉などに関わる産業の中から選択して取り上げること。その際，産業と国民の立場から多角的に考えて，情報化の進展に伴う産業の発展や国民生活の向上について，自分の考えをまとめることができるよう配慮すること。
1539,社会,(5) 内容の(5)については，次のとおり取り扱うものとする。
1540,社会,ア　アの(ｱ)については，地震災害，津波災害，風水害，火山災害，雪害などを取り上げること。
1541,社会,イ　アの(ｳ)及びイの(ｳ)については，大気の汚染，水質の汚濁などの中から具体的事例を選択して取り上げること。
1542,社会,ウ　イの(ｲ)及び(ｳ)については，国土の環境保全について，自分たちにできることなどを考えたり選択・判断したりできるよう配慮すること。
1543,社会,〔第６学年〕
1544,社会,"１　目標
社会的事象の見方・考え方を働かせ，学習の問題を追究・解決する活動を通して，次のとおり資質・能力を育成することを目指す。"
1545,社会,(1) 我が国の政治の考え方と仕組みや働き，国家及び社会の発展に大きな働きをした先人の業績や優れた文化遺産，我が国と関係の深い国の生活やグローバル化する国際社会における我が国の役割について理解するとともに，地図帳や地球儀，統計や年表などの各種の基礎的資料を通して，情報を適切に調べまとめる技能を身に付けるようにする。
1546,社会,(2) 社会的事象の特色や相互の関連，意味を多角的に考える力，社会に見られる課題を把握して，その解決に向けて社会への関わり方を選択・判断する力，考えたことや選択・判断したことを説明したり，それらを基に議論したりする力を養う。
1547,社会,(3) 社会的事象について，主体的に学習の問題を解決しようとする態度や，よりよい社会を考え学習したことを社会生活に生かそうとする態度を養うとともに，多角的な思考や理解を通して，我が国の歴史や伝統を大切にして国を愛する心情，我が国の将来を担う国民としての自覚や平和を願う日本人として世界の国々の人々と共に生きることの大切さについての自覚を養う。
1548,社会,２　内容
1549,社会,(1) 我が国の政治の働きについて，学習の問題を追究・解決する活動を通して，次の事項を身に付けることができるよう指導する。
1550,社会,ア　次のような知識及び技能を身に付けること。
1551,社会,(ｱ) 日本国憲法は国家の理想，天皇の地位，国民としての権利及び義務など国家や国民生活の基本を定めていることや，現在の我が国の民主政治は日本国憲法の基本的な考え方に基づいていることを理解するとともに，立法，行政，司法の三権がそれぞれの役割を果たしていることを理解すること。
1552,社会,(ｲ) 国や地方公共団体の政治は，国民主権の考え方の下，国民生活の安定と向上を図る大切な働きをしていることを理解すること。
1553,社会,(ｳ) 見学・調査したり各種の資料で調べたりして，まとめること。
1554,社会,イ　次のような思考力，判断力，表現力等を身に付けること。
1555,社会,(ｱ) 日本国憲法の基本的な考え方に着目して，我が国の民主政治を捉え，日本国憲法が国民生活に果たす役割や，国会，内閣，裁判所と国民との関わりを考え，表現すること。
1556,社会,(ｲ) 政策の内容や計画から実施までの過程，法令や予算との関わりなどに着目して，国や地方公共団体の政治の取組を捉え，国民生活における政治の働きを考え，表現すること。
1557,社会,(2) 我が国の歴史上の主な事象について，学習の問題を追究・解決する活動を通して，次の事項を身に付けることができるよう指導する。
1558,社会,ア　次のような知識及び技能を身に付けること。その際，我が国の歴史上の主な事象を手掛かりに，大まかな歴史を理解するとともに，関連する先人の業績，優れた文化遺産を理解すること。
1559,社会,(ｱ) 狩猟・採集や農耕の生活，古墳，大和朝廷（大和政権）による統一の様子を手掛かりに，むらからくにへと変化したことを理解すること。その際，神話・伝承を手掛かりに，国の形成に関する考え方などに関心をもつこと。
1560,社会,(ｲ) 大陸文化の摂取，大化の改新，大仏造営の様子を手掛かりに，天皇を中心とした政治が確立されたことを理解すること。
1561,社会,(ｳ) 貴族の生活や文化を手掛かりに，日本風の文化が生まれたことを理解すること。
1562,社会,(ｴ) 源平の戦い，鎌倉幕府の始まり，元との戦いを手掛かりに，武士による政治が始まったことを理解すること。
1563,社会,(ｵ) 京都の室町に幕府が置かれた頃の代表的な建造物や絵画を手掛かりに，今日の生活文化につながる室町文化が生まれたことを理解すること。
1564,社会,(ｶ) キリスト教の伝来，織田《おだ》・豊臣《とよとみ》の天下統一を手掛かりに，戦国の世が統一されたことを理解すること。
1565,社会,(ｷ) 江戸幕府の始まり，参勤交代や鎖国などの幕府の政策，身分制を手掛かりに，武士による政治が安定したことを理解すること。
1566,社会,(ｸ) 歌舞伎や浮世絵，国学や蘭学《らんがく》を手掛かりに，町人の文化が栄え新しい学問がおこったことを理解すること。
1567,社会,(ｹ) 黒船の来航，廃藩置県や四民平等などの改革，文明開化などを手掛かりに，我が国が明治維新を機に欧米の文化を取り入れつつ近代化を進めたことを理解すること。
1568,社会,(ｺ) 大日本帝国憲法の発布，日清《にっしん》・日露の戦争，条約改正，科学の発展などを手掛かりに，我が国の国力が充実し国際的地位が向上したことを理解すること。
1569,社会,(ｻ) 日中戦争や我が国に関わる第二次世界大戦，日本国憲法の制定，オリンピック・パラリンピックの開催などを手掛かりに，戦後我が国は民主的な国家として出発し，国民生活が向上し，国際社会の中で重要な役割を果たしてきたことを理解すること。
1570,社会,(ｼ) 遺跡や文化財，地図や年表などの資料で調べ，まとめること。
1571,社会,イ　次のような思考力，判断力，表現力等を身に付けること。
1572,社会,(ｱ) 世の中の様子，人物の働きや代表的な文化遺産などに着目して，我が国の歴史上の主な事象を捉え，我が国の歴史の展開を考えるとともに，歴史を学ぶ意味を考え，表現すること。
1573,社会,(3) グローバル化する世界と日本の役割について，学習の問題を追究・解決する活動を通して，次の事項を身に付けることができるよう指導する。
1574,社会,ア　次のような知識及び技能を身に付けること。
1575,社会,(ｱ) 我が国と経済や文化などの面でつながりが深い国の人々の生活は，多様であることを理解するとともに，スポーツや文化などを通して他国と交流し，異なる文化や習慣を尊重し合うことが大切であることを理解すること。
1576,社会,(ｲ) 我が国は，平和な世界の実現のために国際連合の一員として重要な役割を果たしたり，諸外国の発展のために援助や協力を行ったりしていることを理解すること。
1577,社会,(ｳ) 地図帳や地球儀，各種の資料で調べ，まとめること。
1578,社会,イ　次のような思考力，判断力，表現力等を身に付けること。
1579,社会,(ｱ) 外国の人々の生活の様子などに着目して，日本の文化や習慣との違いを捉え，国際交流の果たす役割を考え，表現すること。
1580,社会,"(ｲ) 地球規模で発生している課題の解決に向けた連携・協力などに着目して,国際連合の働きや我が国の国際協力の様子を捉え，国際社会において我が国が果たしている役割を考え，表現すること。"
1581,社会,３　内容の取扱い
1582,社会,(1) 内容の(1)については，次のとおり取り扱うものとする。
1583,社会,ア　アの(ｱ)については，国会などの議会政治や選挙の意味，国会と内閣と裁判所の三権相互の関連，裁判員制度や租税の役割などについて扱うこと。その際，イの(ｱ)に関わって，国民としての政治への関わり方について多角的に考えて，自分の考えをまとめることができるよう配慮すること。
1584,社会,イ　アの(ｱ)の「天皇の地位」については，日本国憲法に定める天皇の国事に関する行為など児童に理解しやすい事項を取り上げ，歴史に関する学習との関連も図りながら，天皇についての理解と敬愛の念を深めるようにすること。また，「国民としての権利及び義務」については，参政権，納税の義務などを取り上げること。
1585,社会,ウ　アの(ｲ)の「国や地方公共団体の政治」については，社会保障，自然災害からの復旧や復興，地域の開発や活性化などの取組の中から選択して取り上げること。
1586,社会,エ　イの(ｱ)の「国会」について，国民との関わりを指導する際には，各々の国民の祝日に関心をもち，我が国の社会や文化における意義を考えることができるよう配慮すること。
1587,社会,(2) 内容の(2)については，次のとおり取り扱うものとする。
1588,社会,ア　アの(ｱ)から(ｻ)までについては，児童の興味・関心を重視し，取り上げる人物や文化遺産の重点の置き方に工夫を加えるなど，精選して具体的に理解できるようにすること。その際，アの(ｻ)の指導に当たっては，児童の発達の段階を考慮すること。
1589,社会,イ　アの(ｱ)から(ｻ)までについては，例えば，国宝，重要文化財に指定されているものや，世界文化遺産に登録されているものなどを取り上げ，我が国の代表的な文化遺産を通して学習できるように配慮すること。
1590,社会,ウ　アの(ｱ)から(ｺ)までについては，例えば，次に掲げる人物を取り上げ，人物の働きを通して学習できるよう指導すること。
1591,社会,卑弥呼《ひみこ》
1592,社会,聖徳太子《しょうとくたいし》
1593,社会,小野妹子《おののいもこ》
1594,社会,中大兄皇子《なかのおおえのおうじ》
1595,社会,中臣鎌足《なかとみのかまたり》
1596,社会,聖武《しょうむ》天皇
1597,社会,行基《ぎょうき》
1598,社会,鑑真《がんじん》
1599,社会,藤原道長《ふじわらのみちなが》
1600,社会,紫式部《むらさきしきぶ》
1601,社会,清少納言《せいしょうなごん》
1602,社会,平清盛《たいらのきよもり》
1603,社会,源頼朝《みなもとのよりとも》
1604,社会,源義経《みなもとのよしつね》
1605,社会,北条時宗《ほうじょうときむね》
1606,社会,足利義満《あしかがよしみつ》
1607,社会,足利義政《あしかがよしまさ》
1608,社会,雪舟《せっしゅう》
1609,社会,ザビエル
1610,社会,織田信長《おだのぶなが》
1611,社会,豊臣秀吉《とよとみひでよし》
1612,社会,徳川家康《とくがわいえやす》
1613,社会,徳川家光《とくがわいえみつ》
1614,社会,近松門左衛門《ちかまつもんざえもん》
1615,社会,歌川広重《うたがわひろしげ》
1616,社会,本居宣長《もとおりのりなが》
1617,社会,杉田玄白《すぎたげんぱく》
1618,社会,伊能忠敬《いのうただたか》
1619,社会,ペリー
1620,社会,勝海舟《かつかいしゅう》
1621,社会,西郷隆盛《さいごうたかもり》
1622,社会,大久保利通《おおくぼとしみち》
1623,社会,木戸孝允《きどたかよし》
1624,社会,明治天皇
1625,社会,福沢諭吉《ふくざわゆきち》
1626,社会,大隈重信《おおくましげのぶ》
1627,社会,板垣退助《いたがきたいすけ》
1628,社会,伊藤博文《いとうひろぶみ》
1629,社会,陸奥宗光《むつむねみつ》
1630,社会,東郷平八郎《とうごうへいはちろう》
1631,社会,小村寿太郎《こむらじゅたろう》
1632,社会,野口英世《のぐちひでよ》
1633,社会,エ　アの(ｱ)の「神話・伝承」については，古事記，日本書紀，風土記などの中から適切なものを取り上げること。
1634,社会,オ　アの(ｲ)から(ｻ)までについては，当時の世界との関わりにも目を向け，我が国の歴史を広い視野から捉えられるよう配慮すること。
1635,社会,カ　アの(ｼ)については，年表や絵画など資料の特性に留意した読み取り方についても指導すること。
1636,社会,キ　イの(ｱ)については，歴史学習全体を通して，我が国は長い歴史をもち伝統や文化を育んできたこと，我が国の歴史は政治の中心地や世の中の様子などによって幾つかの時期に分けられることに気付くようにするとともに，現在の自分たちの生活と過去の出来事との関わりを考えたり，過去の出来事を基に現在及び将来の発展を考えたりするなど，歴史を学ぶ意味を考えるようにすること。
1637,社会,(3) 内容の(3)については，次のとおり取り扱うものとする。
1638,社会,ア　アについては，我が国の国旗と国歌の意義を理解し，これを尊重する態度を養うとともに，諸外国の国旗と国歌も同様に尊重する態度を養うよう配慮すること。
1639,社会,イ　アの(ｱ)については，我が国とつながりが深い国から数か国を取り上げること。その際，児童が１か国を選択して調べるよう配慮すること。
1640,社会,ウ　アの(ｱ)については，我が国や諸外国の伝統や文化を尊重しようとする態度を養うよう配慮すること。
1641,社会,エ　イについては，世界の人々と共に生きていくために大切なことや，今後，我が国が国際社会において果たすべき役割などを多角的に考えたり選択・判断したりできるよう配慮すること。
1642,社会,オ　イの(ｲ)については，網羅的，抽象的な扱いを避けるため，「国際連合の働き」については，ユニセフやユネスコの身近な活動を取り上げること。また，「我が国の国際協力の様子」については，教育，医療，農業などの分野で世界に貢献している事例の中から選択して取り上げること。
1643,社会,第３　指導計画の作成と内容の取扱い
1644,社会,１　指導計画の作成に当たっては，次の事項に配慮するものとする。
1645,社会,(1) 単元など内容や時間のまとまりを見通して，その中で育む資質・能力の育成に向けて，児童の主体的・対話的で深い学びの実現を図るようにすること。その際，問題解決への見通しをもつこと，社会的事象の見方・考え方を働かせ，事象の特色や意味などを考え概念などに関する知識を獲得すること，学習の過程や成果を振り返り学んだことを活用することなど，学習の問題を追究・解決する活動の充実を図ること。
1646,社会,(2) 各学年の目標や内容を踏まえて，事例の取り上げ方を工夫して，内容の配列や授業時数の配分などに留意して効果的な年間指導計画を作成すること。
1647,社会,(3) 我が国の47都道府県の名称と位置，世界の大陸と主な海洋の名称と位置については，学習内容と関連付けながら，その都度，地図帳や地球儀などを使って確認するなどして，小学校卒業までに身に付け活用できるように工夫して指導すること。
1648,社会,(4) 障害のある児童などについては，学習活動を行う場合に生じる困難さに応じた指導内容や指導方法の工夫を計画的，組織的に行うこと。
1649,社会,(5) 第１章総則の第１の２の(2)に示す道徳教育の目標に基づき，道徳科などとの関連を考慮しながら，第３章特別の教科道徳の第２に示す内容について，社会科の特質に応じて適切な指導をすること。
1650,社会,２　第２の内容の取扱いについては，次の事項に配慮するものとする。
1651,社会,(1) 各学校においては，地域の実態を生かし，児童が興味・関心をもって学習に取り組めるようにするとともに，観察や見学，聞き取りなどの調査活動を含む具体的な体験を伴う学習やそれに基づく表現活動の一層の充実を図ること。また，社会的事象の特色や意味，社会に見られる課題などについて，多角的に考えたことや選択・判断したことを論理的に説明したり，立場や根拠を明確にして議論したりするなど言語活動に関わる学習を一層重視すること。
1652,社会,(2) 学校図書館や公共図書館，コンピュータなどを活用して，情報の収集やまとめなどを行うようにすること。また，全ての学年において，地図帳を活用すること。
1653,社会,(3) 博物館や資料館などの施設の活用を図るとともに，身近な地域及び国土の遺跡や文化財などについての調査活動を取り入れるようにすること。また，内容に関わる専門家や関係者，関係の諸機関との連携を図るようにすること。
1654,社会,(4) 児童の発達の段階を考慮し，社会的事象については，児童の考えが深まるよう様々な見解を提示するよう配慮し，多様な見解のある事柄，未確定な事柄を取り上げる場合には，有益適切な教材に基づいて指導するとともに，特定の事柄を強調し過ぎたり，一面的な見解を十分な配慮なく取り上げたりするなどの偏った取扱いにより，児童が多角的に考えたり，事実を客観的に捉え，公正に判断したりすることを妨げることのないよう留意すること。
1655,算数,第３節　算数
1656,算数,"第１　目標
数学的な見方・考え方を働かせ，数学的活動を通して，数学的に考える資質・能力を次のとおり育成することを目指す。"
1657,算数,(1) 数量や図形などについての基礎的・基本的な概念や性質などを理解するとともに，日常の事象を数理的に処理する技能を身に付けるようにする。
1658,算数,(2) 日常の事象を数理的に捉え見通しをもち筋道を立てて考察する力，基礎的・基本的な数量や図形の性質などを見いだし統合的・発展的に考察する力，数学的な表現を用いて事象を簡潔・明瞭・的確に表したり目的に応じて柔軟に表したりする力を養う。
1659,算数,(3) 数学的活動の楽しさや数学のよさに気付き，学習を振り返ってよりよく問題解決しようとする態度，算数で学んだことを生活や学習に活用しようとする態度を養う。
1660,算数,第２　各学年の目標及び内容
1661,算数,〔第１学年〕
1662,算数,１　目標　
1663,算数,(1) 数の概念とその表し方及び計算の意味を理解し，量，図形及び数量の関係についての理解の基礎となる経験を重ね，数量や図形についての感覚を豊かにするとともに，加法及び減法の計算をしたり，形を構成したり，身の回りにある量の大きさを比べたり，簡単な絵や図などに表したりすることなどについての技能を身に付けるようにする。
1664,算数,(2) ものの数に着目し，具体物や図などを用いて数の数え方や計算の仕方を考える力，ものの形に着目して特徴を捉えたり，具体的な操作を通して形の構成について考えたりする力，身の回りにあるものの特徴を量に着目して捉え，量の大きさの比べ方を考える力，データの個数に着目して身の回りの事象の特徴を捉える力などを養う。
1665,算数,(3) 数量や図形に親しみ，算数で学んだことのよさや楽しさを感じながら学ぶ態度を養う。
1666,算数,２　内容
1667,算数,Ａ　数と計算
1668,算数,(1) 数の構成と表し方に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。
1669,算数,ア　次のような知識及び技能を身に付けること。
1670,算数,(ｱ) ものとものとを対応させることによって，ものの個数を比べること。
1671,算数,(ｲ) 個数や順番を正しく数えたり表したりすること。
1672,算数,(ｳ) 数の大小や順序を考えることによって，数の系列を作ったり，数直線の上に表したりすること。
1673,算数,(ｴ) 一つの数をほかの数の和や差としてみるなど，ほかの数と関係付けてみること。
1674,算数,(ｵ) ２位数の表し方について理解すること。
1675,算数,(ｶ) 簡単な場合について，３位数の表し方を知ること。
1676,算数,(ｷ) 数を，十を単位としてみること。
1677,算数,(ｸ) 具体物をまとめて数えたり等分したりして整理し，表すこと。
1678,算数,イ　次のような思考力，判断力，表現力等を身に付けること。
1679,算数,(ｱ) 数のまとまりに着目し，数の大きさの比べ方や数え方を考え，それらを日常生活に生かすこと。
1680,算数,(2) 加法及び減法に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。
1681,算数,ア　次のような知識及び技能を身に付けること。
1682,算数,(ｱ) 加法及び減法の意味について理解し，それらが用いられる場合について知ること。
1683,算数,(ｲ) 加法及び減法が用いられる場面を式に表したり，式を読み取ったりすること。
1684,算数,(ｳ) １位数と１位数の加法及びその逆の減法の計算が確実にできること。
1685,算数,(ｴ) 簡単な場合について，２位数などについても加法及び減法ができることを知ること。
1686,算数,イ　次のような思考力，判断力，表現力等を身に付けること。
1687,算数,(ｱ) 数量の関係に着目し，計算の意味や計算の仕方を考えたり，日常生活に生かしたりすること。
1688,算数,Ｂ　図形
1689,算数,(1) 身の回りにあるものの形に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。
1690,算数,ア　次のような知識及び技能を身に付けること。
1691,算数,(ｱ) ものの形を認め，形の特徴を知ること。
1692,算数,(ｲ) 具体物を用いて形を作ったり分解したりすること。
1693,算数,(ｳ) 前後，左右，上下など方向や位置についての言葉を用いて，ものの位置を表すこと。
1694,算数,イ　次のような思考力，判断力，表現力等を身に付けること。
1695,算数,(ｱ) ものの形に着目し，身の回りにあるものの特徴を捉えたり，具体的な操作を通して形の構成について考えたりすること。
1696,算数,Ｃ　測定
1697,算数,(1) 身の回りのものの大きさに関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。
1698,算数,ア　次のような知識及び技能を身に付けること。
1699,算数,(ｱ) 長さ，広さ，かさなどの量を，具体的な操作によって直接比べたり，他のものを用いて比べたりすること。
1700,算数,(ｲ) 身の回りにあるものの大きさを単位として，その幾つ分かで大きさを比べること。
1701,算数,イ　次のような思考力，判断力，表現力等を身に付けること。
1702,算数,(ｱ) 身の回りのものの特徴に着目し，量の大きさの比べ方を見いだすこと。
1703,算数,(2) 時刻に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。
1704,算数,ア　次のような知識及び技能を身に付けること。
1705,算数,(ｱ) 日常生活の中で時刻を読むこと。
1706,算数,イ　次のような思考力，判断力，表現力等を身に付けること。
1707,算数,(ｱ) 時刻の読み方を用いて，時刻と日常生活を関連付けること。
1708,算数,Ｄ　データの活用
1709,算数,(1) 数量の整理に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。
1710,算数,ア　次のような知識及び技能を身に付けること。
1711,算数,(ｱ) ものの個数について，簡単な絵や図などに表したり，それらを読み取ったりすること。
1712,算数,イ　次のような思考力，判断力，表現力等を身に付けること。
1713,算数,(ｱ) データの個数に着目し，身の回りの事象の特徴を捉えること。
1714,算数,〔数学的活動〕 
1715,算数,(1) 内容の「Ａ数と計算」，「Ｂ図形」，「Ｃ測定」及び「Ｄデータの活用」に示す学習については，次のような数学的活動に取り組むものとする。
1716,算数,ア　身の回りの事象を観察したり，具体物を操作したりして，数量や形を見いだす活動
1717,算数,イ　日常生活の問題を具体物などを用いて解決したり結果を確かめたりする活動
1718,算数,ウ　算数の問題を具体物などを用いて解決したり結果を確かめたりする活動
1719,算数,エ　問題解決の過程や結果を，具体物や図などを用いて表現する活動
1720,算数,〔用語・記号〕 
1721,算数,一の位
1722,算数,十の位
1723,算数,＋
1724,算数,－
1725,算数,＝
1726,算数,〔第２学年〕
1727,算数,１　目標　
1728,算数,(1) 数の概念についての理解を深め，計算の意味と性質，基本的な図形の概念，量の概念，簡単な表とグラフなどについて理解し，数量や図形についての感覚を豊かにするとともに，加法，減法及び乗法の計算をしたり，図形を構成したり，長さやかさなどを測定したり，表やグラフに表したりすることなどについての技能を身に付けるようにする。
1729,算数,(2) 数とその表現や数量の関係に着目し，必要に応じて具体物や図などを用いて数の表し方や計算の仕方などを考察する力，平面図形の特徴を図形を構成する要素に着目して捉えたり，身の回りの事象を図形の性質から考察したりする力，身の回りにあるものの特徴を量に着目して捉え，量の単位を用いて的確に表現する力，身の回りの事象をデータの特徴に着目して捉え，簡潔に表現したり考察したりする力などを養う。
1730,算数,(3) 数量や図形に進んで関わり，数学的に表現・処理したことを振り返り，数理的な処理のよさに気付き生活や学習に活用しようとする態度を養う。
1731,算数,２　内容
1732,算数,Ａ　数と計算
1733,算数,(1) 数の構成と表し方に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。
1734,算数,ア　次のような知識及び技能を身に付けること。
1735,算数,(ｱ) 同じ大きさの集まりにまとめて数えたり，分類して数えたりすること。
1736,算数,(ｲ) ４位数までについて，十進位取り記数法による数の表し方及び数の大小や順序について理解すること。
1737,算数,(ｳ) 数を十や百を単位としてみるなど，数の相対的な大きさについて理解すること。
1738,算数,(ｴ) 一つの数をほかの数の積としてみるなど，ほかの数と関係付けてみること。
1739,算数,(ｵ) 簡単な事柄を分類整理し，それを数を用いて表すこと。
1740,算数,(ｶ)1/2，1/3 など簡単な分数について知ること。
1741,算数,イ　次のような思考力，判断力，表現力等を身に付けること。
