教科等,No,学習指導要領テキスト,学習指導要領コード
社会,1643,オ　イの(ｲ)については，網羅的，抽象的な扱いを避けるため，「国際連合の働き」については，ユニセフやユネスコの身近な活動を取り上げること。また，「我が国の国際協力の様子」については，教育，医療，農業などの分野で世界に貢献している事例の中から選択して取り上げること。,8.22027E+15
社会,1644,第３　指導計画の作成と内容の取扱い,82203L0000000000
社会,1645,１　指導計画の作成に当たっては，次の事項に配慮するものとする。,82203L0100000000
社会,1646,(1) 単元など内容や時間のまとまりを見通して，その中で育む資質・能力の育成に向けて，児童の主体的・対話的で深い学びの実現を図るようにすること。その際，問題解決への見通しをもつこと，社会的事象の見方・考え方を働かせ，事象の特色や意味などを考え概念などに関する知識を獲得すること，学習の過程や成果を振り返り学んだことを活用することなど，学習の問題を追究・解決する活動の充実を図ること。,82203L0110000000
社会,1647,(2) 各学年の目標や内容を踏まえて，事例の取り上げ方を工夫して，内容の配列や授業時数の配分などに留意して効果的な年間指導計画を作成すること。,82203L0120000000
社会,1648,(3) 我が国の47都道府県の名称と位置，世界の大陸と主な海洋の名称と位置については，学習内容と関連付けながら，その都度，地図帳や地球儀などを使って確認するなどして，小学校卒業までに身に付け活用できるように工夫して指導すること。,82203L0130000000
社会,1649,(4) 障害のある児童などについては，学習活動を行う場合に生じる困難さに応じた指導内容や指導方法の工夫を計画的，組織的に行うこと。,82203L0140000000
社会,1650,(5) 第１章総則の第１の２の(2)に示す道徳教育の目標に基づき，道徳科などとの関連を考慮しながら，第３章特別の教科道徳の第２に示す内容について，社会科の特質に応じて適切な指導をすること。,82203L0150000000
社会,1651,２　第２の内容の取扱いについては，次の事項に配慮するものとする。,82203L0200000000
社会,1652,(1) 各学校においては，地域の実態を生かし，児童が興味・関心をもって学習に取り組めるようにするとともに，観察や見学，聞き取りなどの調査活動を含む具体的な体験を伴う学習やそれに基づく表現活動の一層の充実を図ること。また，社会的事象の特色や意味，社会に見られる課題などについて，多角的に考えたことや選択・判断したことを論理的に説明したり，立場や根拠を明確にして議論したりするなど言語活動に関わる学習を一層重視すること。,82203L0210000000
社会,1653,(2) 学校図書館や公共図書館，コンピュータなどを活用して，情報の収集やまとめなどを行うようにすること。また，全ての学年において，地図帳を活用すること。,82203L0220000000
社会,1654,(3) 博物館や資料館などの施設の活用を図るとともに，身近な地域及び国土の遺跡や文化財などについての調査活動を取り入れるようにすること。また，内容に関わる専門家や関係者，関係の諸機関との連携を図るようにすること。,82203L0230000000
社会,1655,(4) 児童の発達の段階を考慮し，社会的事象については，児童の考えが深まるよう様々な見解を提示するよう配慮し，多様な見解のある事柄，未確定な事柄を取り上げる場合には，有益適切な教材に基づいて指導するとともに，特定の事柄を強調し過ぎたり，一面的な見解を十分な配慮なく取り上げたりするなどの偏った取扱いにより，児童が多角的に考えたり，事実を客観的に捉え，公正に判断したりすることを妨げることのないよう留意すること。,82203L0240000000
算数,1656,第３節　算数,8.25E+15
算数,1657,"第１　目標
数学的な見方・考え方を働かせ，数学的活動を通して，数学的に考える資質・能力を次のとおり育成することを目指す。",8.2501E+15
算数,1658,(1) 数量や図形などについての基礎的・基本的な概念や性質などを理解するとともに，日常の事象を数理的に処理する技能を身に付けるようにする。,8.2501E+15
算数,1659,(2) 日常の事象を数理的に捉え見通しをもち筋道を立てて考察する力，基礎的・基本的な数量や図形の性質などを見いだし統合的・発展的に考察する力，数学的な表現を用いて事象を簡潔・明瞭・的確に表したり目的に応じて柔軟に表したりする力を養う。,8.2501E+15
算数,1660,(3) 数学的活動の楽しさや数学のよさに気付き，学習を振り返ってよりよく問題解決しようとする態度，算数で学んだことを生活や学習に活用しようとする態度を養う。,8.2501E+15
算数,1661,第２　各学年の目標及び内容,8.2502E+15
算数,1662,〔第１学年〕,8.25021E+15
算数,1663,１　目標　,8.25021E+15
算数,1664,(1) 数の概念とその表し方及び計算の意味を理解し，量，図形及び数量の関係についての理解の基礎となる経験を重ね，数量や図形についての感覚を豊かにするとともに，加法及び減法の計算をしたり，形を構成したり，身の回りにある量の大きさを比べたり，簡単な絵や図などに表したりすることなどについての技能を身に付けるようにする。,8.25021E+15
算数,1665,(2) ものの数に着目し，具体物や図などを用いて数の数え方や計算の仕方を考える力，ものの形に着目して特徴を捉えたり，具体的な操作を通して形の構成について考えたりする力，身の回りにあるものの特徴を量に着目して捉え，量の大きさの比べ方を考える力，データの個数に着目して身の回りの事象の特徴を捉える力などを養う。,8.25021E+15
算数,1666,(3) 数量や図形に親しみ，算数で学んだことのよさや楽しさを感じながら学ぶ態度を養う。,8.25021E+15
算数,1667,２　内容,8.25021E+15
算数,1668,Ａ　数と計算,8.25021E+15
算数,1669,(1) 数の構成と表し方に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25021E+15
算数,1670,ア　次のような知識及び技能を身に付けること。,8.25021E+15
算数,1671,(ｱ) ものとものとを対応させることによって，ものの個数を比べること。,8.25021E+15
算数,1672,(ｲ) 個数や順番を正しく数えたり表したりすること。,8.25021E+15
算数,1673,(ｳ) 数の大小や順序を考えることによって，数の系列を作ったり，数直線の上に表したりすること。,8.25021E+15
算数,1674,(ｴ) 一つの数をほかの数の和や差としてみるなど，ほかの数と関係付けてみること。,8.25021E+15
算数,1675,(ｵ) ２位数の表し方について理解すること。,8.25021E+15
算数,1676,(ｶ) 簡単な場合について，３位数の表し方を知ること。,8.25021E+15
算数,1677,(ｷ) 数を，十を単位としてみること。,8.25021E+15
算数,1678,(ｸ) 具体物をまとめて数えたり等分したりして整理し，表すこと。,8.25021E+15
算数,1679,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25021E+15
算数,1680,(ｱ) 数のまとまりに着目し，数の大きさの比べ方や数え方を考え，それらを日常生活に生かすこと。,8.25021E+15
算数,1681,(2) 加法及び減法に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25021E+15
算数,1682,ア　次のような知識及び技能を身に付けること。,8.25021E+15
算数,1683,(ｱ) 加法及び減法の意味について理解し，それらが用いられる場合について知ること。,8.25021E+15
算数,1684,(ｲ) 加法及び減法が用いられる場面を式に表したり，式を読み取ったりすること。,8.25021E+15
算数,1685,(ｳ) １位数と１位数の加法及びその逆の減法の計算が確実にできること。,8.25021E+15
算数,1686,(ｴ) 簡単な場合について，２位数などについても加法及び減法ができることを知ること。,8.25021E+15
算数,1687,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25021E+15
算数,1688,(ｱ) 数量の関係に着目し，計算の意味や計算の仕方を考えたり，日常生活に生かしたりすること。,8.25021E+15
算数,1689,Ｂ　図形,8.25021E+15
算数,1690,(1) 身の回りにあるものの形に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25021E+15
算数,1691,ア　次のような知識及び技能を身に付けること。,8.25021E+15
算数,1692,(ｱ) ものの形を認め，形の特徴を知ること。,8.25021E+15
算数,1693,(ｲ) 具体物を用いて形を作ったり分解したりすること。,8.25021E+15
算数,1694,(ｳ) 前後，左右，上下など方向や位置についての言葉を用いて，ものの位置を表すこと。,8.25021E+15
算数,1695,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25021E+15
算数,1696,(ｱ) ものの形に着目し，身の回りにあるものの特徴を捉えたり，具体的な操作を通して形の構成について考えたりすること。,8.25021E+15
算数,1697,Ｃ　測定,8.25021E+15
算数,1698,(1) 身の回りのものの大きさに関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25021E+15
算数,1699,ア　次のような知識及び技能を身に付けること。,8.25021E+15
算数,1700,(ｱ) 長さ，広さ，かさなどの量を，具体的な操作によって直接比べたり，他のものを用いて比べたりすること。,8.25021E+15
算数,1701,(ｲ) 身の回りにあるものの大きさを単位として，その幾つ分かで大きさを比べること。,8.25021E+15
算数,1702,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25021E+15
算数,1703,(ｱ) 身の回りのものの特徴に着目し，量の大きさの比べ方を見いだすこと。,8.25021E+15
算数,1704,(2) 時刻に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25021E+15
算数,1705,ア　次のような知識及び技能を身に付けること。,8.25021E+15
算数,1706,(ｱ) 日常生活の中で時刻を読むこと。,8.25021E+15
算数,1707,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25021E+15
算数,1708,(ｱ) 時刻の読み方を用いて，時刻と日常生活を関連付けること。,8.25021E+15
算数,1709,Ｄ　データの活用,8.25021E+15
算数,1710,(1) 数量の整理に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25021E+15
算数,1711,ア　次のような知識及び技能を身に付けること。,8.25021E+15
算数,1712,(ｱ) ものの個数について，簡単な絵や図などに表したり，それらを読み取ったりすること。,8.25021E+15
算数,1713,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25021E+15
算数,1714,(ｱ) データの個数に着目し，身の回りの事象の特徴を捉えること。,8.25021E+15
算数,1715,〔数学的活動〕 ,8.25021E+15
算数,1716,(1) 内容の「Ａ数と計算」，「Ｂ図形」，「Ｃ測定」及び「Ｄデータの活用」に示す学習については，次のような数学的活動に取り組むものとする。,8.25021E+15
算数,1717,ア　身の回りの事象を観察したり，具体物を操作したりして，数量や形を見いだす活動,8.25021E+15
算数,1718,イ　日常生活の問題を具体物などを用いて解決したり結果を確かめたりする活動,8.25021E+15
算数,1719,ウ　算数の問題を具体物などを用いて解決したり結果を確かめたりする活動,8.25021E+15
算数,1720,エ　問題解決の過程や結果を，具体物や図などを用いて表現する活動,8.25021E+15
算数,1721,〔用語・記号〕 ,8.25021E+15
算数,1722,一の位,8.25021E+15
算数,1723,十の位,8.25021E+15
算数,1724,＋,8.25021E+15
算数,1725,－,8.25021E+15
算数,1726,＝,8.25021E+15
算数,1727,〔第２学年〕,8.25022E+15
算数,1728,１　目標　,8.25022E+15
算数,1729,(1) 数の概念についての理解を深め，計算の意味と性質，基本的な図形の概念，量の概念，簡単な表とグラフなどについて理解し，数量や図形についての感覚を豊かにするとともに，加法，減法及び乗法の計算をしたり，図形を構成したり，長さやかさなどを測定したり，表やグラフに表したりすることなどについての技能を身に付けるようにする。,8.25022E+15
算数,1730,(2) 数とその表現や数量の関係に着目し，必要に応じて具体物や図などを用いて数の表し方や計算の仕方などを考察する力，平面図形の特徴を図形を構成する要素に着目して捉えたり，身の回りの事象を図形の性質から考察したりする力，身の回りにあるものの特徴を量に着目して捉え，量の単位を用いて的確に表現する力，身の回りの事象をデータの特徴に着目して捉え，簡潔に表現したり考察したりする力などを養う。,8.25022E+15
算数,1731,(3) 数量や図形に進んで関わり，数学的に表現・処理したことを振り返り，数理的な処理のよさに気付き生活や学習に活用しようとする態度を養う。,8.25022E+15
算数,1732,２　内容,8.25022E+15
算数,1733,Ａ　数と計算,8.25022E+15
算数,1734,(1) 数の構成と表し方に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25022E+15
算数,1735,ア　次のような知識及び技能を身に付けること。,8.25022E+15
算数,1736,(ｱ) 同じ大きさの集まりにまとめて数えたり，分類して数えたりすること。,8.25022E+15
算数,1737,(ｲ) ４位数までについて，十進位取り記数法による数の表し方及び数の大小や順序について理解すること。,8.25022E+15
算数,1738,(ｳ) 数を十や百を単位としてみるなど，数の相対的な大きさについて理解すること。,8.25022E+15
算数,1739,(ｴ) 一つの数をほかの数の積としてみるなど，ほかの数と関係付けてみること。,8.25022E+15
算数,1740,(ｵ) 簡単な事柄を分類整理し，それを数を用いて表すこと。,8.25022E+15
算数,1741,(ｶ)1/2，1/3 など簡単な分数について知ること。,8.25022E+15
算数,1742,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25022E+15
算数,1743,(ｱ) 数のまとまりに着目し，大きな数の大きさの比べ方や数え方を考え，日常生活に生かすこと。,8.25022E+15
算数,1744,(2) 加法及び減法に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25022E+15
算数,1745,ア　次のような知識及び技能を身に付けること。,8.25022E+15
算数,1746,(ｱ) ２位数の加法及びその逆の減法の計算が，１位数などについての基本的な計算を基にしてできることを理解し，それらの計算が確実にできること。また，それらの筆算の仕方について理解すること。,8.25022E+15
算数,1747,(ｲ) 簡単な場合について，３位数などの加法及び減法の計算の仕方を知ること。,8.25022E+15
算数,1748,(ｳ) 加法及び減法に関して成り立つ性質について理解すること。,8.25022E+15
算数,1749,(ｴ) 加法と減法との相互関係について理解すること。,8.25022E+15
算数,1750,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25022E+15
算数,1751,(ｱ) 数量の関係に着目し，計算の仕方を考えたり計算に関して成り立つ性質を見いだしたりするとともに，その性質を活用して，計算を工夫したり計算の確かめをしたりすること。,8.25022E+15
算数,1752,(3) 乗法に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25022E+15
算数,1753,ア　次のような知識及び技能を身に付けること。,8.25022E+15
算数,1754,(ｱ) 乗法の意味について理解し，それが用いられる場合について知ること。,8.25022E+15
算数,1755,(ｲ) 乗法が用いられる場面を式に表したり，式を読み取ったりすること。,8.25022E+15
算数,1756,(ｳ) 乗法に関して成り立つ簡単な性質について理解すること。,8.25022E+15
算数,1757,(ｴ) 乗法九九について知り，１位数と１位数との乗法の計算が確実にできること。,8.25022E+15
算数,1758,(ｵ) 簡単な場合について，２位数と１位数との乗法の計算の仕方を知ること。,8.25022E+15
算数,1759,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25022E+15
算数,1760,(ｱ) 数量の関係に着目し，計算の意味や計算の仕方を考えたり計算に関して成り立つ性質を見いだしたりするとともに，その性質を活用して，計算を工夫したり計算の確かめをしたりすること。,8.25022E+15
算数,1761,(ｲ) 数量の関係に着目し，計算を日常生活に生かすこと。,8.25022E+15
算数,1762,Ｂ　図形,8.25022E+15
算数,1763,(1) 図形に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25022E+15
算数,1764,ア　次のような知識及び技能を身に付けること。,8.25022E+15
算数,1765,(ｱ) 三角形，四角形について知ること。,8.25022E+15
算数,1766,(ｲ) 正方形，長方形，直角三角形について知ること。,8.25022E+15
算数,1767,(ｳ) 正方形や長方形の面で構成される箱の形をしたものについて理解し，それらを構成したり分解したりすること。,8.25022E+15
算数,1768,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25022E+15
算数,1769,(ｱ) 図形を構成する要素に着目し，構成の仕方を考えるとともに，身の回りのものの形を図形として捉えること。,8.25022E+15
算数,1770,Ｃ　測定,8.25022E+15
算数,1771,(1) 量の単位と測定に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25022E+15
算数,1772,ア　次のような知識及び技能を身に付けること。,8.25022E+15
算数,1773,(ｱ) 長さの単位（ミリメートル（mm），センチメートル（cm），メートル（m））及びかさの単位（ミリリットル（mL），デシリットル（dL），リットル（L））について知り，測定の意味を理解すること。,8.25022E+15
算数,1774,(ｲ) 長さ及びかさについて，およその見当を付け，単位を適切に選択して測定すること。,8.25022E+15
算数,1775,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25022E+15
算数,1776,(ｱ) 身の回りのものの特徴に着目し，目的に応じた単位で量の大きさを的確に表現したり，比べたりすること。,8.25022E+15
算数,1777,(2) 時刻と時間に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25022E+15
算数,1778,ア　次のような知識及び技能を身に付けること。,8.25022E+15
算数,1779,(ｱ) 日，時，分について知り，それらの関係を理解すること。,8.25022E+15
算数,1780,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25022E+15
算数,1781,(ｱ) 時間の単位に着目し，時刻や時間を日常生活に生かすこと。,8.25022E+15
算数,1782,Ｄ　データの活用,8.25022E+15
算数,1783,(1) データの分析に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25022E+15
算数,1784,ア　次のような知識及び技能を身に付けること。,8.25022E+15
算数,1785,(ｱ) 身の回りにある数量を分類整理し，簡単な表やグラフを用いて表したり読み取ったりすること。,8.25022E+15
算数,1786,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25022E+15
算数,1787,(ｱ) データを整理する観点に着目し，身の回りの事象について表やグラフを用いて考察すること。,8.25022E+15
算数,1788,〔数学的活動〕,8.25022E+15
算数,1789,(1) 内容の「Ａ数と計算」，「Ｂ図形」，「Ｃ測定」及び「Ｄデータの活用」に示す学習については，次のような数学的活動に取り組むものとする。,8.25022E+15
算数,1790,ア　身の回りの事象を観察したり，具体物を操作したりして，数量や図形に進んで関わる活動,8.25022E+15
算数,1791,イ　日常の事象から見いだした算数の問題を，具体物，図，数，式などを用いて解決し，結果を確かめる活動,8.25022E+15
算数,1792,ウ　算数の学習場面から見いだした算数の問題を，具体物，図，数，式などを用いて解決し，結果を確かめる活動,8.25022E+15
算数,1793,エ　問題解決の過程や結果を，具体物，図，数，式などを用いて表現し伝え合う活動,8.25022E+15
算数,1794,〔用語・記号〕,8.25022E+15
算数,1795,直線,8.25022E+15
算数,1796,直角,8.25022E+15
算数,1797,頂点,8.25022E+15
算数,1798,辺,8.25022E+15
算数,1799,面,8.25022E+15
算数,1800,単位,8.25022E+15
算数,1801,×,8.25022E+15
算数,1802,＞,8.25022E+15
算数,1803,＜,8.25022E+15
算数,1804,３　内容の取扱い,8.25023E+15
算数,1805,(1) 内容の「Ａ数と計算」の(1)については，１万についても取り扱うものとする。,8.25023E+15
算数,1806,(2) 内容の「Ａ数と計算」の(2)については，必要な場合には，（　）や□などを用いることができる。また，計算の結果の見積りについて配慮するものとする。,8.25023E+15
算数,1807,(3) 内容の「Ａ数と計算」の(2)のアの(ｳ)については，交換法則や結合法則を取り扱うものとする。,8.25023E+15
算数,1808,(4) 内容の「Ａ数と計算」の(3)のアの(ｳ)については，主に乗数が１ずつ増えるときの積の増え方や交換法則を取り扱うものとする。,8.25023E+15
算数,1809,(5) 内容の「Ｂ図形」の(1)のアの(ｲ)に関連して，正方形，長方形が身の回りで多く使われていることが分かるようにするとともに，敷き詰めるなどの操作的な活動を通して，平面の広がりについての基礎となる経験を豊かにするよう配慮するものとする。,8.25023E+15
算数,1810,〔第３学年〕,8.25023E+15
算数,1811,１　目標　,8.25023E+15
算数,1812,(1) 数の表し方，整数の計算の意味と性質，小数及び分数の意味と表し方，基本的な図形の概念，量の概念，棒グラフなどについて理解し，数量や図形についての感覚を豊かにするとともに，整数などの計算をしたり，図形を構成したり，長さや重さなどを測定したり，表やグラフに表したりすることなどについての技能を身に付けるようにする。,8.25023E+15
算数,1813,(2) 数とその表現や数量の関係に着目し，必要に応じて具体物や図などを用いて数の表し方や計算の仕方などを考察する力，平面図形の特徴を図形を構成する要素に着目して捉えたり，身の回りの事象を図形の性質から考察したりする力，身の回りにあるものの特徴を量に着目して捉え，量の単位を用いて的確に表現する力，身の回りの事象をデータの特徴に着目して捉え，簡潔に表現したり適切に判断したりする力などを養う。,8.25023E+15
算数,1814,(3) 数量や図形に進んで関わり，数学的に表現・処理したことを振り返り，数理的な処理のよさに気付き生活や学習に活用しようとする態度を養う。,8.25023E+15
算数,1815,２　内容,8.25023E+15
算数,1816,Ａ　数と計算,8.25023E+15
算数,1817,(1) 整数の表し方に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1818,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1819,(ｱ) 万の単位について知ること。,8.25023E+15
算数,1820,(ｲ) 10倍，100倍，1000倍，1/10 の大きさの数及びそれらの表し方について知ること。,8.25023E+15
算数,1821,(ｳ) 数の相対的な大きさについての理解を深めること。,8.25023E+15
算数,1822,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1823,(ｱ) 数のまとまりに着目し，大きな数の大きさの比べ方や表し方を考え，日常生活に生かすこと。,8.25023E+15
算数,1824,(2) 加法及び減法に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1825,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1826,(ｱ) ３位数や４位数の加法及び減法の計算が，２位数などについての基本的な計算を基にしてできることを理解すること。また，それらの筆算の仕方について理解すること。,8.25023E+15
算数,1827,(ｲ) 加法及び減法の計算が確実にでき，それらを適切に用いること。,8.25023E+15
算数,1828,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1829,(ｱ) 数量の関係に着目し，計算の仕方を考えたり計算に関して成り立つ性質を見いだしたりするとともに，その性質を活用して，計算を工夫したり，計算の確かめをしたりすること。,8.25023E+15
算数,1830,(3) 乗法に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1831,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1832,(ｱ) ２位数や３位数に１位数や２位数をかける乗法の計算が，乗法九九などの基本的な計算を基にしてできることを理解すること。また，その筆算の仕方について理解すること。,8.25023E+15
算数,1833,(ｲ) 乗法の計算が確実にでき，それを適切に用いること。,8.25023E+15
算数,1834,(ｳ) 乗法に関して成り立つ性質について理解すること。,8.25023E+15
算数,1835,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1836,(ｱ) 数量の関係に着目し，計算の仕方を考えたり計算に関して成り立つ性質を見いだしたりするとともに，その性質を活用して，計算を工夫したり，計算の確かめをしたりすること。,8.25023E+15
算数,1837,(4) 除法に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1838,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1839,(ｱ) 除法の意味について理解し，それが用いられる場合について知ること。また，余りについて知ること。,8.25023E+15
算数,1840,(ｲ) 除法が用いられる場面を式に表したり，式を読み取ったりすること。,8.25023E+15
算数,1841,(ｳ) 除法と乗法や減法との関係について理解すること。,8.25023E+15
算数,1842,(ｴ) 除数と商が共に１位数である除法の計算が確実にできること。,8.25023E+15
算数,1843,(ｵ) 簡単な場合について，除数が１位数で商が２位数の除法の計算の仕方を知ること。,8.25023E+15
算数,1844,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1845,(ｱ) 数量の関係に着目し，計算の意味や計算の仕方を考えたり，計算に関して成り立つ性質を見いだしたりするとともに，その性質を活用して，計算を工夫したり計算の確かめをしたりすること。,8.25023E+15
算数,1846,(ｲ) 数量の関係に着目し，計算を日常生活に生かすこと。,8.25023E+15
算数,1847,(5) 小数とその表し方に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1848,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1849,(ｱ) 端数部分の大きさを表すのに小数を用いることを知ること。また，小数の表し方及び1/10 の位について知ること。,8.25023E+15
算数,1850,(ｲ) 1/10の位までの小数の加法及び減法の意味について理解し，それらの計算ができることを知ること。,8.25023E+15
算数,1851,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1852,(ｱ) 数のまとまりに着目し，小数でも数の大きさを比べたり計算したりできるかどうかを考えるとともに，小数を日常生活に生かすこと。,8.25023E+15
算数,1853,(6) 分数とその表し方に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1854,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1855,(ｱ) 等分してできる部分の大きさや端数部分の大きさを表すのに分数を用いることを知ること。また，分数の表し方について知ること。,8.25023E+15
算数,1856,(ｲ) 分数が単位分数の幾つ分かで表すことができることを知ること。,8.25023E+15
算数,1857,(ｳ) 簡単な場合について，分数の加法及び減法の意味について理解し，それらの計算ができることを知ること。,8.25023E+15
算数,1858,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1859,(ｱ) 数のまとまりに着目し，分数でも数の大きさを比べたり計算したりできるかどうかを考えるとともに，分数を日常生活に生かすこと。,8.25023E+15
算数,1860,(7) 数量の関係を表す式に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1861,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1862,(ｱ) 数量の関係を表す式について理解するとともに，数量を□などを用いて表し，その関係を式に表したり，□などに数を当てはめて調べたりすること。,8.25023E+15
算数,1863,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1864,(ｱ) 数量の関係に着目し，数量の関係を図や式を用いて簡潔に表したり，式と図を関連付けて式を読んだりすること。,8.25023E+15
算数,1865,(8) そろばんを用いた数の表し方と計算に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1866,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1867,(ｱ) そろばんによる数の表し方について知ること。,8.25023E+15
算数,1868,(ｲ) 簡単な加法及び減法の計算の仕方について知り，計算すること。,8.25023E+15
算数,1869,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1870,(ｱ) そろばんの仕組みに着目し，大きな数や小数の計算の仕方を考えること。,8.25023E+15
算数,1871,Ｂ　図形 ,8.25023E+15
算数,1872,(1) 図形に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1873,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1874,(ｱ) 二等辺三角形，正三角形などについて知り，作図などを通してそれらの関係に次第に着目すること。,8.25023E+15
算数,1875,(ｲ) 基本的な図形と関連して角について知ること。,8.25023E+15
算数,1876,(ｳ) 円について，中心，半径，直径を知ること。また，円に関連して，球についても直径などを知ること。,8.25023E+15
算数,1877,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1878,(ｱ) 図形を構成する要素に着目し，構成の仕方を考えるとともに，図形の性質を見いだし，身の回りのものの形を図形として捉えること。,8.25023E+15
算数,1879,Ｃ　測定,8.25023E+15
算数,1880,(1) 量の単位と測定に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1881,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1882,(ｱ) 長さの単位（キロメートル（km））及び重さの単位（グラム（g），キログラム（kg））について知り，測定の意味を理解すること。,8.25023E+15
算数,1883,(ｲ) 長さや重さについて，適切な単位で表したり，およその見当を付け計器を適切に選んで測定したりすること。,8.25023E+15
算数,1884,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1885,(ｱ) 身の回りのものの特徴に着目し，単位の関係を統合的に考察すること。,8.25023E+15
算数,1886,(2) 時刻と時間に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1887,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1888,(ｱ) 秒について知ること。,8.25023E+15
算数,1889,(ｲ) 日常生活に必要な時刻や時間を求めること。,8.25023E+15
算数,1890,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1891,(ｱ) 時間の単位に着目し，時刻や時間の求め方について考察し，日常生活に生かすこと。,8.25023E+15
算数,1892,Ｄ　データの活用,8.25023E+15
算数,1893,(1) データの分析に関わる数学的活動を通して，次の事項を身に付けることができるよう指導する。,8.25023E+15
算数,1894,ア　次のような知識及び技能を身に付けること。,8.25023E+15
算数,1895,(ｱ) 日時の観点や場所の観点などからデータを分類整理し，表に表したり読んだりすること。,8.25023E+15
算数,1896,(ｲ) 棒グラフの特徴やその用い方を理解すること。,8.25023E+15
算数,1897,イ　次のような思考力，判断力，表現力等を身に付けること。,8.25023E+15
算数,1898,(ｱ) データを整理する観点に着目し，身の回りの事象について表やグラフを用いて考察して，見いだしたことを表現すること。,8.25023E+15
算数,1899,〔数学的活動〕 ,8.25023E+15
算数,1900,(1) 内容の「Ａ数と計算」，「Ｂ図形」，「Ｃ測定」及び「Ｄデータの活用」に示す学習については，次のような数学的活動に取り組むものとする。,8.25023E+15
算数,1901,ア　身の回りの事象を観察したり，具体物を操作したりして，数量や図形に進んで関わる活動,8.25023E+15
